framework,workload,datasize,c3.large,c3.xlarge,c3.2xlarge,c4.large,c4.xlarge,c4.2xlarge,m3.large,m3.xlarge,m3.2xlarge,m4.large,m4.xlarge,m4.2xlarge,r3.large,r3.xlarge,r3.2xlarge,r4.large,r4.xlarge,r4.2xlarge
hadoop,aggregation,large,3.628924012,1.940548412,1.147705165,3.01418803,1.655602114,1,3.807434183,2.160661456,1.212434816,3.349698972,1.929744788,1.127536866,3.826911787,2.086336898,1.226651625,3.707807158,1.94695461,1.134265388
hadoop,aggregation,medium,3.602623488,2.008006599,1.165035159,2.999948084,1.684281569,1,3.815323292,2.160754974,1.263058313,3.356022543,1.930247985,1.126478885,3.892026281,2.191956483,1.22457126,3.735943746,1.999273176,1.145705106
hadoop,aggregation,small,3.622220432,2.028087657,1.433114899,3.014130128,1.663143723,1,3.809525179,2.076593811,1.219293148,3.378838177,1.961907337,1.128339077,3.878881326,2.139166806,1.200186407,3.716448137,2.200617905,1.15094383
hadoop,join,large,3.64603224,1.99077819,1.534840648,2.973267933,1.652103953,1,3.825437027,2.071198009,1.239971221,3.54179711,1.889051471,1.111473545,3.841615299,2.093297295,1.237253777,3.718999747,1.884895094,1.130549128
hadoop,join,medium,3.622802464,1.985607671,1.526595693,3.0077128,1.652321675,1,3.854338266,2.019485226,1.253004319,3.530101956,1.898127381,1.102656141,3.871879377,2.114438361,1.234258543,3.72018452,1.868446569,1.131778694
hadoop,join,small,3.728090879,2.040623763,1.204161092,3.052339362,1.675150203,1,3.869164124,2.074938741,1.286606235,3.638059159,1.9097027,1.120037281,3.887569339,2.175728968,1.242023822,3.768990244,1.915760938,1.204772428
hadoop,pagerank,large,2.81264846,2.381581509,1.229485037,3.306792605,1.385346266,1.298244412,3.062370036,1.888373491,1,3.332097625,1.561377057,1.369070742,2.970839882,1.98815745,1.43499993,3.566193204,1.718333289,1.400149843
hadoop,pagerank,medium,3.802243767,1.644133813,1,3.319276475,1.876359807,1.498161034,3.205671782,1.982882768,1.581083551,3.386920726,1.612167787,1.347959776,3.319313026,1.972326418,1.004870404,2.98910327,1.763506691,1.384579185
hadoop,pagerank,small,3.355421646,2.363228924,1.101601561,3.198557525,1.924123018,1,3.635404134,2.268980107,1.319680624,3.521703965,1.712571188,1.257773856,3.449065533,2.474245341,1.116193417,3.252787359,2.34977006,1.170837678
hadoop,scan,large,3.906062349,2.076921002,1.196280249,3.217413973,1.73265075,1,4.198374744,2.134227464,1.2003344,4.567509259,1.966766747,1.065495667,4.217719607,2.804888354,1.217602747,3.946109453,1.923393621,1.079132358
hadoop,scan,medium,1.39582811,1.122950409,1.131925989,1.259389259,1.073960788,1,1.59158602,1.199468485,1.117434689,1.445068445,1.191646192,1.122749837,1.549465978,13.29604372,1.153537582,1.375871233,1.138895853,1.095672667
hadoop,scan,small,1.357415379,1.155644688,1.147818431,1.224075523,1.046859714,1,1.56216983,1.204069654,1.138720407,1.368665623,1.143954216,1.009391509,1.492907455,1.210917629,1.171541773,1.354382704,1.115339464,1.070142829
hadoop,sort,large,3.941689126,2.706406726,1.591428404,3.667383408,2.504051441,1.506769979,3.965945043,2.166803375,1.300190415,4.262450199,1.978424537,1.21331146,3.85416862,2.062514647,1.115074994,3.964363136,1.810018749,1
hadoop,sort,medium,3.32626701,5.971945568,1.096618855,3.171695476,1.688321687,1.035875935,6.79722447,1.595645458,1.505862449,3.266838298,1.752953292,2.039720485,3.583047689,1.749486331,1.012107392,3.252293735,1.536618855,1
hadoop,sort,small,17.61827144,2.32638744,1.394546735,21.04966879,14.72934488,11.22004747,4.162398289,2.155630607,1.434292197,9.649710515,8.143281869,1.23347851,4.195154392,2.214675047,1.119132068,4.861803672,2.261696745,1
hadoop,terasort,large,3.82364772,2.293250051,1.269815404,3.603529302,2.09326731,1.21341427,4.066643213,1.997895827,1.18046106,3.889152556,1.98943267,1.092364573,3.930509183,1.997955567,1.083825081,2.544755166,1.831818815,1
hadoop,terasort,medium,4.057410721,6.25507289,1.106058027,3.25549151,1.892078885,1,4.349009343,1.786655687,1.078870738,3.474774704,1.830343958,1.009628256,3.635717933,1.899241424,1.161660863,4.744738501,1.797194787,1.065175889
hadoop,terasort,small,17.54615049,2.105462792,1.230821796,10.5243429,1.888139521,1.073385228,4.062204132,2.141273991,1.304207024,3.939202171,2.033355121,1.205211242,4.17901638,2.232673758,1.102897776,3.992760513,1.995464179,1
